year,month,harvest_season,nearest_district,district_state,fire_count
2023,5,rabi,S.A.S. Nagar (Mohali),Punjab,2
2023,5,rabi,Sangrur,Punjab,46
2023,5,rabi,Shahid Bhagat Singh Nagar,Punjab,37
2023,5,rabi,Shahjahanpur,Uttar Pradesh,13
2023,5,rabi,Sirsa,Haryana,35
2023,5,rabi,Sitapur,Uttar Pradesh,2
2023,5,rabi,Sonipat,Haryana,4
2023,5,rabi,Sri Muktsar Sahib,Punjab,143
2023,5,rabi,Tarn Taran,Punjab,57
2023,5,rabi,Yamunanagar,Haryana,27
2023,10,kharif,Ambala,Haryana,25
2023,10,kharif,Amritsar,Punjab,131
2023,10,kharif,Bareilly,Uttar Pradesh,16
2023,10,kharif,Barnala,Punjab,33
2023,10,kharif,Bathinda,Punjab,15
2023,10,kharif,Bhiwani,Haryana,1
2023,10,kharif,Budaun,Uttar Pradesh,7
2023,10,kharif,Faridabad,Haryana,3
2023,10,kharif,Faridkot,Punjab,29
2023,10,kharif,Farrukhabad,Uttar Pradesh,3
2023,10,kharif,Fatehabad,Haryana,38
2023,10,kharif,Fatehgarh Sahib,Punjab,47
2023,10,kharif,Fazilka,Punjab,14
2023,10,kharif,Ferozepur,Punjab,177
2023,10,kharif,Gurdaspur,Punjab,18
2023,10,kharif,Hardoi,Uttar Pradesh,6
2023,10,kharif,Hisar,Haryana,6
2023,10,kharif,Jalandhar,Punjab,14
2023,10,kharif,Jind,Haryana,21
2023,10,kharif,Kaithal,Haryana,83
2023,10,kharif,Kannauj,Uttar Pradesh,1
2023,10,kharif,Kapurthala,Punjab,116
2023,10,kharif,Karnal,Haryana,5
2023,10,kharif,Kurukshetra,Haryana,16
2023,10,kharif,Ludhiana,Punjab,21
2023,10,kharif,Mainpuri,Uttar Pradesh,1
2023,10,kharif,Malerkotla,Punjab,11
2023,10,kharif,Mansa,Punjab,64
2023,10,kharif,Moga,Punjab,65
2023,10,kharif,Palwal,Haryana,28
2023,10,kharif,Panchkula,Haryana,10
2023,10,kharif,Panipat,Haryana,5
2023,10,kharif,Patiala,Punjab,80
2023,10,kharif,Pilibhit,Uttar Pradesh,103
2023,10,kharif,Rewari,Haryana,1
2023,10,kharif,Rohtak,Haryana,2
2023,10,kharif,Rupnagar,Punjab,4
2023,10,kharif,S.A.S. Nagar (Mohali),Punjab,9
2023,10,kharif,Sangrur,Punjab,129
2023,10,kharif,Shahid Bhagat Singh Nagar,Punjab,15
2023,10,kharif,Shahjahanpur,Uttar Pradesh,4
2023,10,kharif,Sirsa,Haryana,48
2023,10,kharif,Sonipat,Haryana,3
2023,10,kharif,Sri Muktsar Sahib,Punjab,23
2023,10,kharif,Tarn Taran,Punjab,141
2023,10,kharif,Yamunanagar,Haryana,28
2023,11,kharif,Ambala,Haryana,11
2023,11,kharif,Amritsar,Punjab,71
2023,11,kharif,Bareilly,Uttar Pradesh,12
2023,11,kharif,Barnala,Punjab,503
2023,11,kharif,Bathinda,Punjab,580
2023,11,kharif,Bhiwani,Haryana,2
2023,11,kharif,Budaun,Uttar Pradesh,3
2023,11,kharif,Etah,Uttar Pradesh,1
2023,11,kharif,Faridabad,Haryana,5
2023,11,kharif,Faridkot,Punjab,400
2023,11,kharif,Fatehabad,Haryana,96
2023,11,kharif,Fatehgarh Sahib,Punjab,126
2023,11,kharif,Fazilka,Punjab,342
2023,11,kharif,Ferozepur,Punjab,421
2023,11,kharif,Gurdaspur,Punjab,48
2023,11,kharif,Hardoi,Uttar Pradesh,3
2023,11,kharif,Hisar,Haryana,5
2023,11,kharif,Hoshiarpur,Punjab,3
2023,11,kharif,Jalandhar,Punjab,97
2023,11,kharif,Jind,Haryana,29
2023,11,kharif,Kaithal,Haryana,147
2023,11,kharif,Kannauj,Uttar Pradesh,1
2023,11,kharif,Kapurthala,Punjab,200
2023,11,kharif,Karnal,Haryana,3
2023,11,kharif,Kurukshetra,Haryana,5
2023,11,kharif,Lakhimpur Kheri,Uttar Pradesh,7
2023,11,kharif,Ludhiana,Punjab,134
2023,11,kharif,Mahendragarh,Haryana,4
2023,11,kharif,Mainpuri,Uttar Pradesh,4
2023,11,kharif,Malerkotla,Punjab,198
2023,11,kharif,Mansa,Punjab,396
2023,11,kharif,Moga,Punjab,665
2023,11,kharif,Palwal,Haryana,4
2023,11,kharif,Panchkula,Haryana,7
2023,11,kharif,Panipat,Haryana,14
2023,11,kharif,Pathankot,Punjab,3
2023,11,kharif,Patiala,Punjab,163
2023,11,kharif,Pilibhit,Uttar Pradesh,17
2023,11,kharif,Rewari,Haryana,1
2023,11,kharif,Rohtak,Haryana,11
2023,11,kharif,Rupnagar,Punjab,8
2023,11,kharif,S.A.S. Nagar (Mohali),Punjab,2
2023,11,kharif,Sangrur,Punjab,599
2023,11,kharif,Shahid Bhagat Singh Nagar,Punjab,72
